Date of Issue,Subject,Brief Description,url,
14-08-2013,"Foreign Exchange Management (Transfer or Issue of any Foreign Security) (Fifth Amendment) Regulations, 2013",Amendment to Regulation 6 with respect to 100% permmitted financial commitment of Indian party in JV/WOS and drawal of foreign exchange.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT283_210813.pdf,
,"Foreign Exchange Management (Permissible Capital Account Transactions) (Amendment) Regulations, 2013",Amendment to Regulation 4 with respect to drawal of foreign exchange not exceeding USD 75000 per financial year.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT282_210813.pdf,
,Import of Gold by Nominated Banks /Agencies/Entities,Contains clarifications regarding import of gold.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/25APDIR140813.pdf,
,"Liberalised Remittance Scheme for Resident Individuals- Reduction of limit from USD 200,000 to USD 75,000",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/24APDIR140813.pdf,
,Overseas Direct Investments,Overseas Direct Investment reduced to 100% from 400% of the net worth of the Indian party.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR23ODI0813.pdf,
12-08-2013,"Foreign Exchange Management Act, 1999 (FEMA) Foreign Exchange (Compounding Proceedings) Rules, 2000 (the Rules) - Compounding of Contraventions under FEMA, 1999",Refund of compounding offences to be credited to the applicant's account through NEFT.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIRAPDIR120813F.pdf,
08-08-2013,"Corrigendum to  Notification No. FEMA. 30/2000-RB dated November 17, 2000 ",Notification deemd to have come into force from 10 October 2000.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CF30250913E.pdf,
07-08-2013,Non-Resident Deposits - Comprehensive Single Return (NRD-CSR): Submission under XBRL,NRD-CSR reporting moved to XBRL.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/19APDIR070813.pdf,
01-08-2013,Risk Management and Inter-bank Dealings,"Clarification that if an FII wishes to enter into a hedge contract for the exposure relating to that part of the securities held by it against which it has issued any Participatory Notes (PN)/ODI, it must have a mandate from the PN/ODI holder for the purpose.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR18_0813.pdf,
23-07-2013,Risk Management and Inter-Bank Dealings - Reporting of Unhedged Foreign Currency Exposures of Corporates,AD Category - I banks should submit the above quarterly report as per the revised format online only from quarter ended September 2013 through the Extensible Business Reporting Language (XBRL) system which may be accessed at https://secweb.rbi.org.in/orfsxbrl/.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIRAPDI230713.pdf,
22-07-2013,Import of Gold by Nominated Banks /Agencies/Entities,The import of gold in any form/purity including import of gold coins/dore into the country rationalised.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIRAPDI220713.PDF,
,Export of Goods and Software - Realisation and Repatriation of export proceeds - Liberalisation,"Clarification that  that as the realization and repatriation period stipulation in terms of A.P. (DIR Series) Circular No. 52 dated November 20, 2012 was valid till March 31, 2013 only, the time period for realization and repatriation of export proceeds from April 01, 2013 onwards till September 30, 2013, to be reckoned as nine months from the date of export. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CAPDI220713F.pdf,
19-07-2013,"Foreign Exchange Management (Borrowing or Lending in Foreign Exchange) (Third Amendment) Regulations, 2013",Amendment to Schedule 1,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/N281R180913F.pdf,
15-07-2013,External Commercial Borrowings (ECB) Policy Repayment of Rupee loans and/or fresh Rupee capital expenditure - USD 10 billion Scheme,"The benefit of USD 10 billion scheme extended to Indian companies in the manufacturing, infrastructure and hotel sectors which have established Joint Venture (JV) / Wholly Owned Subsidiary (WOS) / have acquired assets overseas in compliance with extant regulations under FEMA, 1999 subject to the stipulated conditions.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/12APDIR150713.pdf,
11-07-2013,External Commercial Borrowings (ECB) Policy - Review of all-in-cost ceiling,"All-in-cost ceiling as specified in A.P. (DIR Series) Circular No. 99 dated March 30, 2012 to continue to be applicable till September 30, 2013",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/11APD11110713S.pdf,
,Trade Credits for Imports into India - Review of all-in-cost ceiling,"All-in-cost ceiling as specified under paragraph 4 of A.P. (DIR Series) Circular No.28 dated September 11, 2012 to continue to be applicable till September 30, 2013",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIRAP911072013.pdf,
,Overseas Investments - Shares of SWIFT,"General permission granted to a bank in India, being licensed by the Reserve Bank under the provisions of the Banking Regulation Act, 1949, to acquire the shares of SWIFT as per the by-laws of SWIFT, provided the bank has been permitted by the Reserve Bank for admission to the ëSWIFT Userís Group in Indiaí as member.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/08APDIR110713.pdf,
,External Commercial Borrowings (ECB) Policy - Refinancing / Rescheduling of ECB,"Instructions contained in the A.P. (DIR Series) Circular No. 112 dated April 20, 2012 relating to ECB to continue to be applicable till September 30, 2013.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/10APD10110713F.pdf,
10-07-2013,"Foreign Exchange Management (Deposit) (Second Amendment) Regulations, 2013","Amendment to Regulation 5 with respect to opening a single non-interest bearing Rupee Account with the Authorised Dealers in India without the prior approval of Reserve Bank of India, for the limited purpose of purchase of shares on the recognized stock exchanges in accordance with Regulation 10D of Foreign Exchange Management (Transfer or Issue of Security by a Person Resident Outside India) Regulations, 2000 (Notification No.FEMA.20/2000-RB dated 3rd May 2000).",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI28006092013.pdf,
,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident Outside India) (Tenth Amendment) Regulations, 2013",Regulation 10 D added with respect to acquiring control under the SEBI (Substantial Acquisition of Shares and Takeover) Regulations. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI27906092013.pdf,
08-07-2013,Risk Management and Inter Bank Dealings,AD Category - I banks should not carry out any proprietary trading in the currency futures / exchange traded currency options markets.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/07APDCF080713.pdf,
,External Commercial Borrowings (ECB) Policy - Non-Banking Finance Company - Asset Finance Companies (NBFC - AFCs),"NBFCs, categorised as Asset Finance Companies (AFCs) by the Reserve Bank and complying with the norms prescribed in the Circular DNBS. PD. CC. No. 85/03.02.089/2006-07 dated December 6, 2006 of the Bank, as amended from time to time, permitted to avail of ECB subject to the stipulated conditions.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/06APDIR080713.pdf,
04-07-2013,Risk Management and Inter-Bank Dealings- Liberalization of documentation requirements for the resident entities in the Indian Forex Market,"AD banks, while offering hedging products under the contracted exposure route to their customers may obtain an annual certificate from the statutory auditors to the effect that the contracts outstanding with all AD category I banks at any time during the year did not exceed the value of the underlying exposures at that time.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/02APDIR04072013.pdf,
,"Foreign Investment in India - Guidelines for calculation of total foreign investment in Indian companies, transfer of ownership and control of Indian companies and downstream investment by Indian companies",Guidelines in the Annexure to the circular,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/01APDIR040713.pdf,
01-07-2013,Master Circular on Miscellaneous Remittances from India - Facilities for Residents,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/06FR290613FL.pdf,
,Master Circular on Risk Management and Inter-Bank Dealings,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/05RM290613FL.pdf,
,Master Circular on Foreign Investment in India,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/15MCNFDI270613.pdf,
,Master Circular on Import of Goods and Services,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/13MCIGS010613F.pdf,
,Master Circular on Exports of Goods and Services,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/14MCEXP010713.pdf,
,Master Circular on External Commercial Borrowings and Trade Credits,,http://rbidocs.rbi.org.in/rdocs/notification/PDFs/12MCECB290613.pdf,
,Master Circular on Direct Investment by Residents in Joint Venture (JV) /Wholly Owned Subsidiary (WOS) Abroad,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/11MJV2901613F.pdf,
,Master Circular on Memorandum of Instructions governing money changing activities,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/10MCMCA010713.pdf,
,"Master Circular on Compounding of Contraventions under FEMA, 1999",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/09MCNOC010713.pdf,
,Master Circular on Establishment of Liaison / Branch / Project Offices in India by Foreign Entities,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/07LO280313FL.pdf,
,Master Circular on Remittance Facilities for Non-Resident Indians / Persons of Indian Origin / Foreign Nationals,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/08MCNF29062013.pdf,
,Master Circular on Acquisition and Transfer of Immovable Property in India by NRIs/PIOs/Foreign Nationals of Non-Indian Origin,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/04MCNIP010713.pdf,
,Master Circular on Memorandum of Instructions for Opening and Maintenance of Rupee/ Foreign Currency Vostro Accounts of Non-resident Exchange Houses,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/03MCS250613FL.pdf,
,Master Circular on Money Transfer Service Scheme,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/MC01280613TS.pdf,
,Master Circular on Non-Resident Ordinary Rupee (NRO) Account,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/02MCNR0290613.pdf,
27-06-2013,Import of Gold by Nominated Banks /Agencies,"Import of gold against suppliers/buyers credit, as also import of gold on unfixed price basis to necessarily observe the discipline stipulated relating to cash margins and Documents against Payment (DP) basis. In other words, AD Category I Banks required to ensure that credit in any form or name is not enabled for import of any form of gold. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/C122AP270613.pdf,
26-06-2013,Risk Management and Inter Bank Dealings ,"Clarified that in case an FII intends to hedge  the  exposure  of  one  of  its  sub-account  holders,  (cf  paragraph  4  of schedule 2 to Notification No. FEMA 20 /2000-RB dated 3rd May 2000) it will be required  to  produce  a  clear mandate from the sub-account holder in respect of the latter's intention to enter into the derivative  transaction.
 ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/554APDIR1210613.pdf,
,External Commercial Borrowings (ECB) Policy - Structured Obligations ,"Credit enhancement permitted to be provided by eligible non-resident entities to the domestic debt raised through issue of INR bonds/ debentures by all borrowers eligible to raise ECB under the automatic route. Also, minimum  average  maturity  of  the  underlying  debt  instruments reduced  from  7 years  to  3  years.  ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/120APR260613F.pdf,
,"External Commercial Borrowings (ECB) Policy - Import of Services, Technical know-how and License Fees ","Import of services, technical know-how and payment of license fees included as part of import of capital goods by the companies for the use in the manufacturing and infrastructure sectors as permissible end uses of ECB under the automatic / approval route as the case may be subject to stipulated conditions.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIRADI26062013F.pdf,
,Export of Goods and Services - Project Exports,"Exporter undertaking Project Exports and Service contracts abroad to submit form DPX1, PEX-1 and TCS-1 to the Approving Authority (AA) i. e. AD Bank / Exim Bank / Working Group, within 30 days of entering into contract for grant of post-award approval. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR1180613F.pdf,
25-06-2013,External Commercial Borrowings (ECB) in Renminbi (RMB) ,Renmibi (RMB) scheme discontinued from date of issue of circular.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR117250613.pdf,
,External Commercial Borrowings (ECB) for Civil Aviation Sector ,"The scheme of availing of ECB for working capital for civil aviation sector to continue till December 31, 2013. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR116250613.pdf,
,Buyback / prepayment of Foreign Currency Convertible Bonds (FCCBs) ,"Existing scheme of Buyback / Prepayment of FCCBs under the approval route which expired on March 31, 2013 to be continued till December 31, 2013 and to be discontinued thereafter.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR115250613.pdf,
,External Commercial Borrowings (ECB) Policy for 3G spectrum allocation,"ECB window for financing 3G spectrum rupee loans, that are still outstanding in telecom operator's books of accounts, to be open upto March 31, 2014. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APR114250613F.pdf,
24-06-2013,External Commercial Borrowings (ECB) for the low cost affordable housing projects ,"Existing guidelines modified with respect to minimum experience, paid up capital, agregate limit for ECB, etc, issue of fixation of spread for on-lending by National Housing bank (NHB) and application requirements for Housing Finance Companies.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDR24062013R.pdf,
12-06-2013,Foreign Direct Investment -Reporting of issue / transfer of Shares to/bya FVCI,"Wherever a SEBI registered FVCI acquires shares of an Indian company under FDI Scheme in terms of Schedule 1 of Notification No. FEMA 20 / 2000-RB dated May 3, 2000,as amended from time to time, such investments have to be reported in form FC-GPR/FC-TRS only, as applicable. W here the investment is under Schedule 6 of the Notificationibid, no FC-GPR/FC-TRS reporting is required. Such transactions would be reported bythe custodianbank in the monthly reporting format as prescribed by RBI from time to time. Revised forms FC-GPRand FC-TRS annexed to the circular.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/110APR120613F.pdf,
,Foreign investment in India by SEBI registered Long term investors in Government dated Securities ,"The limit for foreign investment in Government dated securities increased from USD 5 billion to USD 30 billion with. The enhanced limit of USD 5 billion to be available only for investments in Government dated securities by long term investorsregistered with SEBI - Sovereign Wealth Funds (SWFs), Multilateral Agencies, Pension/ Insurance/ Endowment Funds, Foreign Central Banks. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/111APDIR120613.pdf,
11-06-2013,Processing and Settlement of Export related receipts facilitated by Online Payment Gateways - Enhancement of the value of transaction,"The value per transaction increased from USD 3000 to USD 10,000 for export related remittances received through OPGSPS.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APR109110613F.pdf,
,Export of Goods and Services- Realization and Repatriation period for units in Special Economic Zones (SEZ),"Units located in SEZs mandated to realise and repatriate, full value of goods/software/services, to India within a period of 12 months from the date of export. Any extension of time beyond the above stipulated period may be granted by Reserve Bank of India, on case to case basis. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP108110613F.pdf,
07-06-2013,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Ninth Amendment) Regulations, 2013","Regulation 14 containing guidelines for calculation   of   total   foreign investment in Indian companies, transfer of ownership and control of Indian companies and downstream investment by Indian companies added and Schedule 1 amended accordingly.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOFE278070413.pdf,
04-06-2013,Import of Gold by Nominated Banks /Agencies,"All Letters of Credit (LC) to be opened by Nominated Banks / Agencies for import of gold under all categories to be only on 100% cash margin basis. Further, all imports of gold to necessarily be on Documents against Payment (DP) basis. These restrictions not applicable to to import  of  gold  to  meet  the  needs  of  exporters  of  gold  jewellery. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/107DRAP0613.pdf,
23-05-2013,Liberalised Remittance Scheme for Resident Individuals - Reporting ,Liberalised Remittance Scheme data to be collected in soft form only.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIRAPDIR23052013.pdf,
20-05-2013,Export of Goods and Software - Realisation and Repatriation of export proceeds - Liberalisation ,"Period for realization and repatriation to India, of the amount representing the full   value of goods or software exported, reduced from 12 months to 9 months.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR105200513.pdf,
17-05-2013,Foreign Direct Investment (FDI) in India - Issue of equity shares under the FDI scheme allowed under the Government route against pre-operative/pre-incorporation expenses ,"Paragraph 3(II)(c) of A.P.(DIR Series) Circular No. 74 dated June 30, 2011 amended. Amended paragraph: Payments should be made  by  the foreign investor to the company directly or through  the  bank  account  opened by the foreign investor as provided under FEMA Regulations. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIRAPDI17052013.pdf,
13-05-2013,Import of Gold by Nominated Banks/Agencies ,"Import of gold on consignment basis by banks, restricted only to meet the genuine needs of exporters of gold jewellery. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CPR13052013F.pdf,
08-05-2013,"Foreign Exchange Management (Guarantees) (Fourth Amendment) Regulations, 2013","Amendment of Regulation 5 with respect to guarantee by an Indian Party promoting or setting up outside India, a Joint Venture (JV) or a Wholly Owned Subsidiary (WOS) to or on behalf of such JV or WOS in connection with its business.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT276_120913.pdf,
,"Foreign Exchange Management (Foreign CurrencyAccounts by a person resident in India) (Amendment) Regulations, 2013",Amendment of Regualtion 7 with respect to Foreign Currency Accounts held by an Indian Party for the purpose of overseas direct investments subject to stipulated conditions.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT275_210813.pdf,
,"Foreign Exchange Management (Transfer or Issue of anyForeign Security) (Fourth Amendment) Regulations, 2013","Amendment of regulation 2, 6,  15, 16, 20, 22 and 24 and insertion of Regulations 16A and 18A.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOT080513FEM277.pdf,
25-04-2013,"Foreign Exchange Management (Export of Goods & Services) (Amendment) Regulations, 2013 ",The proviso in Regulation 9 with respect to export of goods or software by units in Special Economic Zones (SEZs) deleted.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FNM273110613.pdf,
,Overseas Direct Investments -Clarification,Clarification that that any overseas entity having equity participation directly / indirectly shall not offer  such  products  without  the  specific approval  of  the  Reserve  Bank  of  India  given  that  currently  Indian Rupee is not fully convertible  and such  products could have  implications for the  exchange  rate management of  the  country.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AD100250413F.pdf,
13-04-2013,"Investment by Navratna Public Sector Undertakings (PSUs), OVL and OIL in unincorporated entities in oil sector abroad","Navratna PublicSector Undertakings (PSUs) and ONGC Videsh Ltd (OVL) and Oil India Ltd (OIL) permitted to invest in unincorporated entities in the oil sector as well as incorporated JV/WOS in th eoil sector, which are duly approved by the Government of India, without any limits under the automatic route.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDSC230413FL.pdf,
09-04-2013,Trade Credits for Imports into India- Review of all-in-cost ceiling,"All - in - cost ceiling as specified underparagraph 4 ofA.P. (DIR Series) Circular No.28 dated September 11, 2012 to continue to be applicable till June 30, 2013. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR090413C.pdf,
05-04-2013,Memorandum of Instructions governing money changing activities,Authorised Money Changers (AMCs) permitted to sell Indian rupees to foreign tourists /visitors against International Credit Cards / InternationalDebit Cards and directed to take prompt steps to obtain reimbursement through normal banking channels.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CAP050413CR.pdf,
01-04-2013,Foreign investment in India by SEBI registered FIIs in Government Securities and Corporate Debt ,Existing debt limits merged into two categories: Government Debt Limit and Corporate Debt Limit.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/94APDIRS010413.pdf,
26-03-2013,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Eighth Amendment) Regulations, 2013 ","Amendment of Schedule 5 with respect to replacement of the term 'FII' with 'eligible investors' and regarding investment by QFIs and long term investors like Sovereign Wealth Funds, etc.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/272NOTI010413.pdf,
19-03-2013,"Foreign Exchange Management (Transfer or Issue of anyForeign Security) (Third Amendment) Regulations, 2013",Regulation 6D with respect to 'General permission for acquiring equity of Society for Worldwide Interbank Financial Telecommunication (SWIFT)' added. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI271F11072013.pdf,
,"Foreign ExchangeManagement (Guarantees)(ThirdAmendment) Regulations, 2013","Proviso to Regulation 3A amended to broaden the application of the Regulation from just infrastructure companies to anybody who is eligible to raise foreign currency loan under sub-regulation  (1)  of  Regulation  6  of Foreign  Exchange  Management (Borrowing or Lending in Foreign Exchange) Regulations, 2000 read with Schedule I thereto.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT269270613F.pdf,
,"Foreign Exchange Management (Borrowing or Lending in Foreign Exchange)(Second Amendment) Regulations, 2013",Amendment of Schedule II and Schedule III with respect to rescheduling of an existing Foreign Currency Borrowing and Trade Credit respectively.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT270_210813.pdf,
14-03-2013,Maintenance of Collateral by Foreign Institutional Investors (FIIs) for transactions in the cash and F & O segments,"FIIs permitted to use, in addition to already permitted collaterals, their investments in corporate bonds as collateral in the cash segment and government securities and corporate bonds as collaterals in the F & O segment. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/90APDIR14032013.pdf,
12-03-2013,"""Write-off"" of unrealized export bills-Export of Goods and Services - Simplification of procedure","Subject to the stipulations regarding surrender  of  incentives prior to""write-off"" adduced in the A.P. (DIR Series) Circular No.  03  dated 22 July  2010, procedure for write-offs simplified by liberalising the limits of 'write-offs'. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR88120313.pdf,
,Money Transfer Service Scheme -Revised Guidelines,Contains revised guidelines on Money Transfer Service Scheme.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR89130313.pdf,
11-03-2013,"Foreign ExchangeManagement (Guarantees)(ThirdAmendment) Regulations, 2013","The proviso in Regulation 3A amended to broaden the application of the Regulation from just infrastructure companies to anybody who is eligible to raise foreign currency loan under sub-regulation  (1)  of  Regulation  6  of Foreign  Exchange  Management (Borrowing or Lending in Foreign Exchange) Regulations, 2000 read with Schedule I thereto.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT269280613F.pdf,
05-03-2013,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Sixth Amendment) Regulations, 2013","Schedule 1 amended to remove Annex D and Annex F and replace the terms form FC-GPR and FC-TRS with Fc-GPR and FC-TRS ""as specified by the Reserve Bank from time to time.""",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/N266F120613F.pdf,
,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Fifth Amendment) Regulations, 2013 ",Regulation 10 C. Added with respect to Escrow account by a person resident outside India. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/265NOTI050913.pdf,
,"Foreign Exchange Management (Transfer or Issue of any Foreign Security) (Amendment) Regulations, 2013 ",Regulation 20A and Schedule V added with respect to Overseas Direct Investments by resident individuals.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NO05032013FEM263.pdf,
,"Foreign Exchange Management (Guarantees)(Second Amendment) Regulations, 2013",Regulation 4(2)(iii) added with respect to guarantees by an authorised dealer on behalf of a person resident  outside India  acquiring shares  or convertible  debentures of an Indian company through open offers/delisting/ exit offers subject to conditions mentioned therein.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/267NTI050913F.pdf,
,External Commercial Borrowings (ECB) Policy - Corporates under Investigation,"All entities permitted to avail of ECBs under the automatic route as per the current norms, notwithstanding the pending investigations / adjudications / appeals by the law enforcing agencies, without prejudice to the outcome of such investigations / adjudications / appeals. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APC87050313FL.pdf,
01-03-2013,Risk Management and Inter-Bank Dealings ,"Contains revised guidelines on calculation of the Foreign Exchange Exposure Limits of the Authorised Dealers and withdraws the restrictions placed on open  positions  limit of the Authorised  Dealers  involving Rupee as one of the currencies,  (on  both  overnight  and  intra-day  open positions)  vide  A.P.  (Dir  Series) Circular  No.58  dated 15th  December  2011.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR010313.pdf,
28-02-2013,Memorandum of Instructions for Opening and Maintenance of Rupee / Foreign Currency Vostro Accounts of Non-resident Exchange Houses ,Rupee Drawing Arrangements to be extended only under  the  Speed Remittance  Procedure  to  Exchange  Houses  situated  in  all  countries which are FATF compliant. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR85_280213.pdf,
27-02-2013,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Third Amendment) Regulations, 2013 ","Schedule 3 amended with respect to reports to the RBI, maintenance of accounts by an NRI for routing transactions for purchase and sale of shares/convertible debentures and permitted credits/debits. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/261NOTI20082013.pdf,
27-02-2013,"Know Your Customer (KYC) norms/Anti-Money Laundering (AML) Standards/Combating the Financing of Terrorism (CFT) Standards -Obligation of Authorised Persons under Prevention of Money Laundering Act (PMLA), 2002 as amended by PML (Amendment) Act 2009 Money Changing activities",Contains the procedure for determination  of Beneficial Ownership ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APD84220213FL.pdf,
20-02-2013,"Foreign Exchange Management Act,1999 - Import of precious and semiprecious stones- Clarification",Clarification that Suppliers' and Buyers' Credit (trade credit) including the usance period  of  Letters  of  Credit  opened  for import  of  precious stones  and  semi-precious stones should not  exceed 90 days from the date  of shipment. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/ADC200213FPS.pdf,
18-02-2013,"Foreign Exchange Management (Foreign Exchange Derivative Contracts) (Amendment) Regulations, 2013",Regulation 2(xi) defining QFIs inserted. Regulations 6 and 6A amended. Schedule I and Schedule II also amended. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/260NOTI210813.pdf,
15-02-2013,"Foreign Exchange Management (Export and Import of Currency)(Amendment) Regulations, 2013",Regulation 3 amended to replace the figure Rs.7500 with Rs.10000.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI25806092013.pdf,
,"Foreign Exchange Management (Guarantees) (Amendment) Regulations, 2013","Regulation 4(3)(iv) amended with respect to guarantee in favour of non-resident service providers on behalf of a resident customer who is a service importer, subject to such terms and conditions as stipulated by the Reserve Bank from time to time. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/N259_21082013.pdf,
,"Foreign Exchange Management (Manner of Receipt and Payment) (Amendment) Regulations, 2013",Regulation 3 and 5 amended with respect to addition of countries under the list of exceptions.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEM15022013NO257.pdf,
11-02-2013,Opening of NRO accounts by individuals of Bangladesh Nationality,Authorised banks permitted to open NRO account of individual/s of Bangladesh nationality without the approval of the Reserve Bank subject to the stipulated condition,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APONRO110213F.pdf,
06-02-2013,"Foreign Exchange Management (Borrowing or Lending in Foreign Exchange)(Amendment) Regulations, 2013",Schedule I amended to specify that any entity under investigation/adjudication/appeal would be required to indicate the Authorised Dealers of the same.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FN256050313FS.pdf,
24-01-2013,Memorandum of Instructions for Opening and Maintenance of Rupee/ Foreign CurrencyVostro Accounts of Non-resident Exchange Houses,"Items 7 and 8 of Part B of Annex I (Permitted transactions) modified to include payments to medical  institutions  and  hospitals in  India, for  medical  treatment  of NRIs / their dependents and nationals of Gulf Countries, Hong Kong, Singapore and Malaysia and payments to hotels by nationals of the said countries.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/ADRC812113FS.pdf,
22-01-2013,"Exchange Earner's Foreign Currency (EEFC) Account, Diamond DollarAccount (DDA) & Resident Foreign Currency (RFC) Domestic Account","The stipulation made in A.P. (DIR Series) Circular No. 124 dated May 10,2012, that EEFC account holders henceforth will be permitted to access the forexmarket for purchasing foreign exchange only after utilizing fully the available balances inthe EEFC accounts dispensed with.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APE79EE220113.pdf,
21-01-2013,External Commercial Borrowings (ECB) Policy -Repayment of Rupee loans and/or fresh Rupeecapital expenditure - USD 10 billion scheme,"Indian companies in the hotel sector (with a total project cost of INR 250 crore or more), irrespective ofgeographical location as included as eligible borrowers under the USD 10bn scheme.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APE78EC210113.pdf,
